Date,Open,High,Low,Close,Volume
25-Feb-11,"11,516.41","11,562.34","11,100.67","11,223.52",0
28-Feb-11,"11,186.42","11,363.64","11,077.43","11,289.22",0
1-Mar-11,"11,322.42","11,626.74","11,320.17","11,608.43",0
2-Mar-11,"11,634.10","11,719.46","11,536.98","11,699.16",0
3-Mar-11,"11,708.10","11,774.71","11,644.69","11,762.00",0
4-Mar-11,"11,765.52","12,086.58","11,742.24","12,000.03",0
7-Mar-11,"12,044.48","12,158.01","11,912.44","11,974.55",0
8-Mar-11,"11,998.53","12,000.92","11,864.85","11,940.01",0
9-Mar-11,"11,961.59","12,139.67","11,947.08","12,128.15",0
10-Mar-11,"12,177.00","12,218.49","12,089.07","12,125.79",0
11-Mar-11,"12,124.15","12,124.15","11,995.76","12,045.24",0
14-Mar-11,"12,056.11","12,099.43","12,027.34","12,045.38",0
15-Mar-11,"12,056.21","12,056.21","11,768.49","11,829.24",0
16-Mar-11,"11,854.55","11,921.61","11,697.44","11,794.57",0
17-Mar-11,"11,795.66","11,933.56","11,773.45","11,858.27",0
18-Mar-11,"11,876.60","11,897.13","11,589.97","11,606.61",0
21-Mar-11,"11,574.19","11,599.82","11,348.42","11,375.14",0
22-Mar-11,"11,397.90","11,560.87","11,397.90","11,488.06",0
24-Mar-11,"11,518.57","11,587.03","11,495.90","11,564.25",0
25-Mar-11,"11,597.52","11,636.98","11,531.41","11,552.92",0
28-Mar-11,"11,534.84","11,630.98","11,534.84","11,583.03",0
29-Mar-11,"11,595.22","11,750.75","11,595.22","11,711.40",0
30-Mar-11,"11,717.30","11,822.93","11,683.23","11,808.61",0
31-Mar-11,"11,821.59","11,887.29","11,795.69","11,809.54",0
1-Apr-11,"11,809.40","11,893.26","11,809.40","11,887.13",0
4-Apr-11,"11,900.13","11,950.76","11,863.00","11,873.28",0
5-Apr-11,"11,881.08","11,919.91","11,813.33","11,901.37",0
6-Apr-11,"11,912.07","11,994.45","11,912.07","11,933.17",0
7-Apr-11,"11,935.80","11,953.25","11,842.74","11,848.84",0
8-Apr-11,"11,851.25","11,958.49","11,842.77","11,905.86",0
11-Apr-11,"11,932.31","11,949.49","11,865.98","11,874.07",0
12-Apr-11,"11,867.39","11,881.07","11,778.46","11,796.09",0
13-Apr-11,"11,802.61","11,813.09","11,714.92","11,734.72",0
14-Apr-11,"11,755.22","11,811.74","11,622.02","11,652.54",0
15-Apr-11,"11,656.04","11,715.68","11,566.36","11,684.23",0
18-Apr-11,"11,703.96","11,737.83","11,648.99","11,674.83",0
19-Apr-11,"11,704.05","11,704.05","11,596.74","11,599.28",0
20-Apr-11,"11,607.05","11,779.92","11,603.62","11,745.06",0
21-Apr-11,"11,752.90","11,951.85","11,743.86","11,923.59",0
22-Apr-11,"11,947.88","12,023.32","11,941.73","11,954.37",0
25-Apr-11,"11,963.49","11,981.16","11,898.60","11,916.02",0
26-Apr-11,"11,911.31","11,952.90","11,891.44","11,933.46",0
27-Apr-11,"11,962.47","12,050.38","11,937.94","11,947.44",0
28-Apr-11,"11,950.97","11,990.26","11,935.85","11,966.67",0
29-Apr-11,"11,979.89","12,135.51","11,974.10","12,057.54",0
2-May-11,"12,089.91","12,130.65","11,967.23","12,035.89",0
3-May-11,"12,045.31","12,046.54","11,894.78","11,956.89",0
4-May-11,"11,974.59","12,009.30","11,638.95","11,672.05",0
5-May-11,"11,693.98","11,917.44","11,693.98","11,906.69",0
6-May-11,"11,943.28","11,945.87","11,803.33","11,879.96",0
9-May-11,"11,883.71","12,003.64","11,882.83","11,932.68",0
10-May-11,"11,953.45","12,044.94","11,942.93","12,012.02",0
11-May-11,"12,031.41","12,143.72","12,007.83","12,036.36",0
12-May-11,"12,034.58","12,054.11","11,945.69","11,962.18",0
13-May-11,"11,959.94","12,010.72","11,941.65","11,967.34",0
16-May-11,"11,964.58","11,968.75","11,884.73","11,902.12",0
17-May-11,"11,937.44","12,036.36","11,918.94","11,930.24",0
18-May-11,"11,942.89","11,959.66","11,863.19","11,884.61",0
19-May-11,"11,894.66","11,925.42","11,873.69","11,878.81",0
20-May-11,"11,884.80","11,982.83","11,840.03","11,973.38",0
23-May-11,"11,946.09","12,044.57","11,918.35","12,030.64",0
24-May-11,"12,045.07","12,150.63","12,045.07","12,130.58",0
25-May-11,"12,168.30","12,217.43","12,125.46","12,168.12",0
26-May-11,"12,175.65","12,259.69","12,171.39","12,198.12",0
27-May-11,"12,202.84","12,241.35","12,174.52","12,225.52",0
30-May-11,"12,227.00","12,268.88","12,180.40","12,195.59",0
31-May-11,"12,168.75","12,207.11","12,100.40","12,123.15",0
1-Jun-11,"12,128.34","12,289.59","12,116.51","12,264.06",0
2-Jun-11,"12,272.43","12,295.07","12,168.64","12,179.81",0
3-Jun-11,"12,192.94","12,267.10","12,162.60","12,236.66",0
6-Jun-11,"12,154.46","12,321.89","12,140.94","12,211.65",0
7-Jun-11,"12,215.62","12,363.94","12,212.30","12,314.99",0
8-Jun-11,"12,341.09","12,405.15","12,325.42","12,367.29",0
9-Jun-11,"12,382.34","12,435.72","12,313.25","12,330.14",0
10-Jun-11,"12,334.97","12,421.04","12,323.92","12,377.77",0
13-Jun-11,"12,390.92","12,424.87","12,303.90","12,353.36",0
14-Jun-11,"12,381.04","12,391.01","12,306.26","12,337.94",0
15-Jun-11,"12,350.28","12,399.45","12,302.10","12,317.15",0
16-Jun-11,"12,346.25","12,385.42","12,296.68","12,369.12",0
17-Jun-11,"12,377.44","12,411.90","12,306.11","12,361.31",0
20-Jun-11,"12,367.20","12,384.44","12,130.07","12,165.98",0
21-Jun-11,"12,164.71","12,351.34","12,164.71","12,326.14",0
22-Jun-11,"12,335.49","12,409.11","12,307.42","12,369.41",0
23-Jun-11,"12,375.08","12,518.19","12,363.37","12,508.42",0
24-Jun-11,"12,509.78","12,532.98","12,432.23","12,455.34",0
27-Jun-11,"12,456.70","12,516.00","12,421.85","12,464.49",0
28-Jun-11,"12,449.67","12,510.24","12,338.01","12,362.44",0
29-Jun-11,"12,378.78","12,531.30","12,376.69","12,423.30",0
30-Jun-11,"12,431.67","12,544.38","12,400.10","12,496.03",0
1-Jul-11,"12,508.73","12,553.08","12,458.19","12,484.17",0
4-Jul-11,"12,495.41","12,593.49","12,387.82","12,560.28",0
5-Jul-11,"12,571.05","12,624.74","12,527.49","12,576.48",0
6-Jul-11,"12,580.99","12,612.63","12,520.67","12,533.55",0
7-Jul-11,"12,534.99","12,558.91","12,426.07","12,441.40",0
8-Jul-11,"12,442.76","12,442.76","12,315.98","12,390.12",0
11-Jul-11,"12,402.04","12,420.91","12,284.81","12,291.90",0
12-Jul-11,"12,295.51","12,339.61","12,154.60","12,191.78",0
13-Jul-11,"12,217.01","12,307.42","12,198.67","12,262.52",0
14-Jul-11,"12,197.83","12,291.47","12,186.66","12,267.33",0
15-Jul-11,"12,279.79","12,414.29","12,268.67","12,346.52",0
18-Jul-11,"12,387.28","12,432.61","12,289.33","12,318.24",0
19-Jul-11,"12,354.17","12,471.28","12,293.03","12,443.54",0
20-Jul-11,"12,449.12","12,494.81","12,415.96","12,433.17",0
21-Jul-11,"12,453.09","12,504.65","12,434.03","12,474.76",0
22-Jul-11,"12,492.99","12,543.18","12,468.78","12,476.77",0
25-Jul-11,"12,485.04","12,488.13","12,373.45","12,440.10",0
26-Jul-11,"12,397.40","12,459.75","12,343.24","12,364.06",0
27-Jul-11,"12,373.19","12,402.99","12,232.81","12,265.53",0
28-Jul-11,"12,266.32","12,310.27","12,040.93","12,098.05",0
29-Jul-11,"12,110.61","12,218.30","12,045.90","12,190.37",0
1-Aug-11,"12,204.44","12,330.48","12,204.44","12,253.39",0
2-Aug-11,"12,253.85","12,280.27","12,194.85","12,226.33",0
3-Aug-11,"12,223.84","12,223.84","11,911.02","11,941.72",0
4-Aug-11,"11,944.71","12,005.27","11,751.61","11,846.16",0
